Date,PnL_Order,PnL_Category,PnL_Line,Entity,BusinessUnit,Prior_Year,Budget,Actual
2024-01-01,1,Revenue,Product Revenue,France,Software,820017,922002,908666
2024-01-01,2,Revenue,Subscription Revenue,France,Software,621653,691501,694365
2024-01-01,3,Revenue,Service Revenue,France,Software,362312,403376,401902
2024-01-01,4,Revenue,Support & Maintenance,France,Software,191455,207450,199310
2024-01-01,5,COGS,Direct Materials,France,Software,-250524,-274387,-267622
2024-01-01,6,COGS,Direct Labor,France,Software,-236048,-253280,-243014
2024-01-01,7,COGS,Cloud & Hosting,France,Software,-115175,-126640,-126853
2024-01-01,8,COGS,Support Delivery,France,Software,-85835,-94980,-93319
2024-01-01,9,Operating Expenses,Sales,France,Software,-178568,-189960,-179606
2024-01-01,10,Operating Expenses,Marketing,France,Software,-146921,-158300,-152539
2024-01-01,11,Operating Expenses,Research & Development,France,Software,-210219,-232173,-220043
2024-01-01,12,Operating Expenses,General & Administrative,France,Software,-122390,-137193,-134765
2024-01-01,13,Operating Expenses,IT & Systems,France,Software,-64617,-73873,-75151
2024-01-01,14,Operating Expenses,Facilities & Rent,France,Software,-56133,-63320,-64449
2024-01-01,15,Operating Expenses,Depreciation & Amort.,France,Software,-53438,-58043,-54963
2024-01-01,16,Other,Interest Income,France,Software,11800,12664,12199
2024-01-01,17,Other,Interest Expense,France,Software,-27694,-29549,-29580
2024-01-01,18,Other,FX Gain/(Loss),France,Software,14972,15830,15759
2024-01-01,19,Other,Other Income/(Expense),France,Software,19212,21107,21233
2024-01-01,20,Other,Income Tax,France,Software,-83559,-94980,-92057
2024-01-01,1,Revenue,Product Revenue,France,Services,483177,553201,542372
2024-01-01,2,Revenue,Subscription Revenue,France,Services,381178,414901,418145
2024-01-01,3,Revenue,Service Revenue,France,Services,216869,242025,240301
2024-01-01,4,Revenue,Support & Maintenance,France,Services,116456,124470,121635
2024-01-01,5,COGS,Direct Materials,France,Services,-154321,-164632,-161177
2024-01-01,6,COGS,Direct Labor,France,Services,-135002,-151968,-151568
2024-01-01,7,COGS,Cloud & Hosting,France,Services,-68777,-75984,-75521
2024-01-01,8,COGS,Support Delivery,France,Services,-49917,-56988,-56704
2024-01-01,9,Operating Expenses,Sales,France,Services,-102527,-113976,-107629
2024-01-01,10,Operating Expenses,Marketing,France,Services,-87871,-94980,-92275
2024-01-01,11,Operating Expenses,Research & Development,France,Services,-121918,-139304,-135808
2024-01-01,12,Operating Expenses,General & Administrative,France,Services,-74530,-82316,-78109
2024-01-01,13,Operating Expenses,IT & Systems,France,Services,-41254,-44324,-42548
2024-01-01,14,Operating Expenses,Facilities & Rent,France,Services,-35654,-37992,-36994
2024-01-01,15,Operating Expenses,Depreciation & Amort.,France,Services,-31898,-34826,-34209
2024-01-01,16,Other,Interest Income,France,Services,7138,7598,7354
2024-01-01,17,Other,Interest Expense,France,Services,-16714,-17730,-17547
2024-01-01,18,Other,FX Gain/(Loss),France,Services,8805,9498,8980
2024-01-01,19,Other,Other Income/(Expense),France,Services,11489,12664,12816
2024-01-01,20,Other,Income Tax,France,Services,-52578,-56988,-56922
2024-01-01,1,Revenue,Product Revenue,France,Hardware,687437,737601,709281
